snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,angadev/network/google/3.2.2,angadev,network,google,5110,False,https://github.com/angadev/terraform-google-network,2021-05-20T17:07:43.819768Z,3.2.2,A Terraform module that makes it easy to set up a new VPC Network in GCP.
2026-07-13,gulmira07/kubernetes-engine/google/1.0.0,gulmira07,kubernetes-engine,google,5094,False,https://github.com/gulmira07/terraform-google-kubernetes-engine,2020-12-11T02:58:18.672403Z,1.0.0,
2026-07-13,regelcloud/network-peering/google/1.0.3,regelcloud,network-peering,google,5086,False,https://github.com/regelcloud/terraform-google-network-peering,2021-03-21T08:55:35.733076Z,1.0.3,Terraform module for google network peering
2026-07-13,Nadongduan/network/google/3.3.0,Nadongduan,network,google,5076,False,https://github.com/Nadongduan/terraform-google-network,2021-06-15T10:26:44.598649Z,3.3.0,A Terraform module that makes it easy to set up a new VPC Network in GCP.
2026-07-13,mbrancato/vault/google/0.1.1,mbrancato,vault,google,5073,False,https://github.com/mbrancato/terraform-google-vault,2021-03-11T00:10:22.946729Z,0.1.1,Terraform module to deploy Vault as a container on Google Cloud Run
2026-07-13,DeimosCloud/waf/google/1.0.0,DeimosCloud,waf,google,5068,False,https://github.com/DeimosCloud/terraform-google-waf,2022-05-14T14:50:17.44575Z,1.0.0,
2026-07-13,vosunda/network/google/3.3.0,vosunda,network,google,5064,False,https://github.com/vosunda/terraform-google-network,2021-06-15T08:34:39.581374Z,3.3.0,A Terraform module that makes it easy to set up a new VPC Network in GCP.
2026-07-13,SweetOps/project-iam-custom-role/google/0.1.0,SweetOps,project-iam-custom-role,google,5061,False,https://github.com/SweetOps/terraform-google-project-iam-custom-role,2021-03-18T15:30:10.939896Z,0.1.0,
2026-07-13,bemakylbekova/kubernetes-engine/google/1.0.1,bemakylbekova,kubernetes-engine,google,5060,False,https://github.com/bemakylbekova/terraform-google-kubernetes-engine,2020-12-11T02:35:15.630902Z,1.0.1,
2026-07-13,gr4vy/serverless-vpc-access/google/2.0.0,gr4vy,serverless-vpc-access,google,5060,False,https://github.com/gr4vy/terraform-google-serverless-vpc-access,2025-05-21T13:06:21.570636Z,2.0.0,Terraform module to configure Google Cloud Serverless VPC Access
