snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,kumarvna/static-website-cdn/azurerm/2.2.0,kumarvna,static-website-cdn,azurerm,6920,False,https://github.com/kumarvna/terraform-azurerm-static-website-cdn,2021-05-30T07:18:17.917382Z,2.2.0,Terraform Module to create a static website and create optional CDN service with the custom domain.
2026-07-13,aztfmod/caf-frontdoor/azurerm/1.0.2002,aztfmod,caf-frontdoor,azurerm,6915,True,https://github.com/aztfmod/terraform-azurerm-caf-frontdoor,2020-02-18T01:00:35.496874Z,1.0.2002,
2026-07-13,Pwd9000-ML/secure-backend/azurerm/3.0.1,Pwd9000-ML,secure-backend,azurerm,6913,False,https://github.com/Pwd9000-ML/terraform-azurerm-secure-backend,2024-12-30T14:02:37.187369Z,3.0.1,Public Terraform Registry module for setting up a secure AZURE backend environment for a team to use in AZURE
2026-07-13,Azure/encryptedmanageddisk/azurerm/0.9.0,Azure,encryptedmanageddisk,azurerm,6869,False,https://github.com/Azure/terraform-azurerm-encryptedmanageddisk,2017-11-30T21:26:03.046777Z,0.9.0,Terraform Azure RM Encrypted Managed Disk Module 
2026-07-13,hashicorp/vault/azurerm/0.0.2,hashicorp,vault,azurerm,6859,False,https://github.com/hashicorp/terraform-azurerm-vault,2019-02-14T16:55:51.478206Z,0.0.2,A Terraform Module for how to run Vault on AzureRM using Terraform and Packer
2026-07-13,avinor/virtual-network-spoke/azurerm/5.1.7,avinor,virtual-network-spoke,azurerm,6808,False,https://github.com/avinor/terraform-azurerm-virtual-network-spoke,2024-06-21T12:20:06.068517Z,5.1.7,Terraform module to create a spoke virtual network according to Microsoft Best Practice of deploying Hub-Spoke
2026-07-13,Azure/search-service/azurerm/0.9.0,Azure,search-service,azurerm,6772,False,https://github.com/Azure/terraform-azurerm-search-service,2017-12-08T00:01:42.595329Z,0.9.0,Terraform module to create Azure Search service resource
2026-07-13,hashicorp/nomad/azurerm/0.0.1,hashicorp,nomad,azurerm,6764,False,https://github.com/hashicorp/terraform-azurerm-nomad,2019-02-14T16:56:19.164435Z,0.0.1,A Terraform Module for how to run Nomad on AzureRM using Terraform and Packer
2026-07-13,Pwd9000-ML/dynamic-subnets/azurerm/2.0.7,Pwd9000-ML,dynamic-subnets,azurerm,6751,False,https://github.com/Pwd9000-ML/terraform-azurerm-dynamic-subnets,2025-02-24T21:16:37.151685Z,2.0.7,Public Terraform Registry module to create dynamic subnets based on a subnet input config on an existing or new AZURE Virtual Network using Terraform
2026-07-13,kumarvna/vpn-gateway/azurerm/1.1.0,kumarvna,vpn-gateway,azurerm,6727,False,https://github.com/kumarvna/terraform-azurerm-vpn-gateway,2021-05-31T15:20:31.621113Z,1.1.0,"Terraform module to create both VPN and ExpressRoute gateway types. VPN configuration supports ExpressRoute (private connection), Site-to-Site and Multi-Site (IPsec/IKE VPN tunnel). Optional active-active mode and point-to-site supported as well."
