repo,tag,sha
terraform-aws-modules/terraform-aws-iam,v5.25.0,b6845776e41fe14f01342bcf684573f174e7410d
terraform-aws-modules/terraform-aws-iam,v5.24.0,f537b20bb4d31f014c1c63a5b4151177aed694e0
terraform-aws-modules/terraform-aws-iam,v5.23.1,e3d9cc671940caa701369c54b3034d04957fa28f
terraform-aws-modules/terraform-aws-iam,v5.23.0,2b1c595bb92a8e8405a450a83b21cb85b9e17a3a
terraform-aws-modules/terraform-aws-iam,v5.22.0,c1e20a227ca5c8f2953c5827533a2dc46696d3bb
terraform-aws-modules/terraform-aws-iam,v5.21.0,5bdf6cbbb1612e1ad520c17781c0ebf533b42881
terraform-aws-modules/terraform-aws-iam,v5.20.0,e46ff1f49aef00a3c2f95a719560ec86f83c3f5b
terraform-aws-modules/terraform-aws-iam,v5.19.0,10aaf1868e350d91e0904ec4c6ecd9f0cee0fe45
terraform-aws-modules/terraform-aws-iam,v5.18.0,1258cbaf8c6a32c15178cbc74dc00503941c32a5
terraform-aws-modules/terraform-aws-iam,v5.17.1,baec7b9695b8f7ffaf23e7b35a702e3762dc403d
terraform-aws-modules/terraform-aws-iam,v5.17.0,3cd8f1ad69e994c1498a85644c171e9374d00059
terraform-aws-modules/terraform-aws-iam,v5.16.0,263426fbb6cb8b0d59fb6b2a86168047ff1e58ac
terraform-aws-modules/terraform-aws-iam,v5.15.0,80c5a46186dcb3297526b53d1d646f1a4718935a
terraform-aws-modules/terraform-aws-iam,v5.14.4,3ebee20ef32e3060c6cd96ed780b29775702a181
terraform-aws-modules/terraform-aws-iam,v5.14.3,51597fa134cf5d54b968d4b3f7a5ba0270b2c8e7
terraform-aws-modules/terraform-aws-iam,v5.14.2,fb9e74ccb41eebd70aec7646f7f38d3e41864fbd
terraform-aws-modules/terraform-aws-iam,v5.14.1,3cef466f501b685f4c080b3bda51ec9ec9d87940
terraform-aws-modules/terraform-aws-iam,v5.14.0,ae093dd3142829cd42b2463fba4146bcf3e9387e
terraform-aws-modules/terraform-aws-iam,v5.13.0,99bca9ca733ce7a539131fac683e6ce0405631fd
terraform-aws-modules/terraform-aws-iam,v5.12.0,20a23cfe0f52d832654041cd73989db78b170928
terraform-aws-modules/terraform-aws-iam,v5.11.2,ab21f0aa238fa6696aff98642f27611e264324d8
terraform-aws-modules/terraform-aws-iam,v5.11.1,e1b3342b48b14e46d762547992eb96daee8ad228
terraform-aws-modules/terraform-aws-iam,v5.11.0,6f860ff08e2ee779b524abb7031e401100aab562
terraform-aws-modules/terraform-aws-iam,v5.10.0,aa7ddba39b658088788652b1a0c3221ccf73cf13
terraform-aws-modules/terraform-aws-iam,v5.9.2,cb074e72f38dd969e1a8dc5a1bdd0f647ab666cd
terraform-aws-modules/terraform-aws-iam,v5.9.1,72ca18a990a2288bd06039ba704f9954e9eba9f8
terraform-aws-modules/terraform-aws-iam,v5.9.0,83494794ab757e6935f59e0afae3d283dc6cacd0
