snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,nicholasjackson/open-faas-nomad/aws/0.5.2,nicholasjackson,open-faas-nomad,aws,7247,False,https://github.com/nicholasjackson/terraform-aws-open-faas-nomad,2019-02-14T17:52:02.998288Z,0.5.2,Example Terraform configuration to create OpenFaas on Nomad for AWS 
2026-07-13,viceIII/kubernetes/aws/0.1.0,viceIII,kubernetes,aws,7241,False,https://github.com/viceIII/terraform-aws-kubernetes,2018-05-21T12:59:35.562898Z,0.1.0,
2026-07-13,infrablocks/ecs-route53-registration/aws/1.1.0-rc.11,infrablocks,ecs-route53-registration,aws,7237,False,https://github.com/infrablocks/terraform-aws-ecs-route53-registration,2024-07-26T17:39:19.482118Z,1.1.0-rc.11,Route53 DNS registration for ECS services
2026-07-13,cloudposse/iam-assumed-roles/aws/0.6.0,cloudposse,iam-assumed-roles,aws,7215,False,https://github.com/cloudposse/terraform-aws-iam-assumed-roles,2019-02-14T17:30:18.727807Z,0.6.0,Terraform Module for Assumed Roles on AWS with IAM Groups Requiring MFA
2026-07-13,zoitech/network/aws/2.7.0,zoitech,network,aws,7214,False,https://github.com/zoitech/terraform-aws-network,2026-07-07T09:15:12.220639Z,2.7.0,This module is intended to be used for configuring an AWS network.
2026-07-13,cloudposse/ec2-admin-server/aws/0.4.3,cloudposse,ec2-admin-server,aws,7209,False,https://github.com/cloudposse/terraform-aws-ec2-admin-server,2019-02-14T17:30:37.52259Z,0.4.3,Terraform Module for providing a EC2 instance capable of running admin tasks and provisioned by Ansible
2026-07-13,Smartbrood/s3-bucket/aws/1.0.0,Smartbrood,s3-bucket,aws,7208,False,https://github.com/Smartbrood/terraform-aws-s3-bucket,2024-01-28T22:43:21.010361Z,1.0.0,Terraform module to create S3 bucket on AWS
2026-07-13,anugnes/openvpn/aws/1.0.1,anugnes,openvpn,aws,7205,False,https://github.com/anugnes/terraform-aws-openvpn,2017-12-12T17:25:25.640914Z,1.0.1,Terraform module to deploy an OpenVPN EC2 instance in a custom VPC
2026-07-13,crisboarna/api-gateway-lambda-dynamodb/aws/1.16.0,crisboarna,api-gateway-lambda-dynamodb,aws,7177,False,https://github.com/crisboarna/terraform-aws-api-gateway-lambda-dynamodb,2020-05-10T16:47:26.097456Z,1.16.0,"Terraform module which deploys a serverless HTTP endpoint backed by AWS API Gateway, Lambda & DynamoDB "
2026-07-13,kurron/bastion/aws/0.9.0,kurron,bastion,aws,7170,False,https://github.com/kurron/terraform-aws-bastion,2019-02-14T18:06:41.040586Z,0.9.0,"Terraform module that creates an auto-scaling group of Bastion servers, allowing SSH access to the private EC2 instances"
2026-07-13,IGNW/jenkins/aws/0.0.1,IGNW,jenkins,aws,7169,False,https://github.com/IGNW/terraform-aws-jenkins,2017-10-26T17:59:19.773031Z,0.0.1,Terraform module to deploy Jenkins Master->Slave cluster on AWS.
2026-07-13,kurron/api-gateway/aws/0.9.1,kurron,api-gateway,aws,7161,False,https://github.com/kurron/terraform-aws-api-gateway,2017-12-10T21:33:16.86731Z,0.9.1,Terraform module that creates an API gateway that can have services attached to it.
